eventId,eventDate,longitude,latitude,depth,magnitudeType,magnitude,area
550495,"2023-02-19T23:57:26",38.747,38.255,8.63,"MW",4.3,"Pütürge (Malatya)"
550489,"2023-02-19T23:29:56",36.382,36.419,6.22,"ML",3,"Kırıkhan (Hatay)"
550488,"2023-02-19T23:42:22",36.736,37.137,10.38,"ML",3.3,"Nurdağı (Gaziantep)"
550475,"2023-02-19T22:48:54",40.452,38.522,16.27,"ML",3.3,"Lice (Diyarbakır)"
550466,"2023-02-19T22:42:00",37.232,38.077,9.64,"ML",3.1,"Elbistan (Kahramanmaraş)"
550445,"2023-02-19T21:32:33",36.876,37.405,10.84,"ML",3.3,"Türkoğlu (Kahramanmaraş)"
550438,"2023-02-19T21:30:30",36.872,37.393,9.82,"MW",4.2,"Türkoğlu (Kahramanmaraş)"
550418,"2023-02-19T20:19:28",37.152,38.091,7,"ML",3,"Ekinözü (Kahramanmaraş)"
550414,"2023-02-19T20:16:00",36.017,36.247,12.76,"ML",3.1,"Samandağ (Hatay)"
550389,"2023-02-19T19:17:18",36.154,36.757,7,"ML",3.3,"Akdeniz - İskenderun Körfezi - [04.66 km] Payas (Hatay)"
550388,"2023-02-19T19:20:50",36.624,37.851,7,"ML",3.6,"Onikişubat (Kahramanmaraş)"
550364,"2023-02-19T18:15:43",37.785,38.118,6.98,"ML",3.9,"Doğanşehir (Malatya)"
550363,"2023-02-19T17:45:17",36.762,37.236,7.58,"ML",3.1,"Türkoğlu (Kahramanmaraş)"
550361,"2023-02-19T17:59:36",36.771,38.04,7.01,"MW",3.9,"Göksun (Kahramanmaraş)"
550359,"2023-02-19T17:51:48",37.698,38.039,7,"ML",3.8,"Doğanşehir (Malatya)"
550354,"2023-02-19T17:41:49",36.307,37.922,7.19,"ML",3,"Göksun (Kahramanmaraş)"
550350,"2023-02-19T16:51:17",36.778,38.192,7,"ML",3.4,"Afşin (Kahramanmaraş)"
550346,"2023-02-19T16:46:53",36.301,37.914,7.11,"ML",3.4,"Göksun (Kahramanmaraş)"
550336,"2023-02-19T17:11:22",36.609,37.736,7,"ML",3.1,"Onikişubat (Kahramanmaraş)"
550330,"2023-02-19T16:28:47",37.246,38.142,6.96,"ML",3.1,"Elbistan (Kahramanmaraş)"
550303,"2023-02-19T15:42:24",38.219,38.324,7,"MW",3.4,"Yeşilyurt (Malatya)"
550302,"2023-02-19T15:33:07",37.906,38.072,6.93,"MW",3.5,"Doğanşehir (Malatya)"
550298,"2023-02-19T15:09:55",36.956,37.419,4.76,"ML",3,"Dulkadiroğlu (Kahramanmaraş)"
550289,"2023-02-19T14:46:03",36.693,37.808,7.01,"ML",3,"Onikişubat (Kahramanmaraş)"
550277,"2023-02-19T14:18:43",37.387,37.835,8.92,"MW",3.9,"Çağlayancerit (Kahramanmaraş)"
550269,"2023-02-19T13:58:43",37.536,38.002,10.09,"ML",3.2,"Nurhak (Kahramanmaraş)"
550257,"2023-02-19T13:38:09",38.487,38.117,7,"ML",3.5,"Sincik (Adıyaman)"
550249,"2023-02-19T12:42:08",37.042,37.478,13.85,"ML",3,"Dulkadiroğlu (Kahramanmaraş)"
550245,"2023-02-19T12:16:02",37.003,37.301,2.99,"ML",3,"Türkoğlu (Kahramanmaraş)"
550242,"2023-02-19T11:58:14",40.19,39.196,7,"ML",3.1,"Yayladere (Bingöl)"
550240,"2023-02-19T12:02:23",36.386,37.792,6.98,"ML",3.5,"Andırın (Kahramanmaraş)"
550239,"2023-02-19T12:04:32",38.233,38.277,7,"MW",4.7,"Yeşilyurt (Malatya)"
550236,"2023-02-19T11:54:34",36.739,37.238,6.95,"ML",3.3,"Türkoğlu (Kahramanmaraş)"
550229,"2023-02-19T11:14:08",39.673,38.478,8.82,"ML",3,"Maden (Elazığ)"
550228,"2023-02-19T11:14:45",37.804,38.131,7.01,"ML",3.1,"Doğanşehir (Malatya)"
550223,"2023-02-19T10:51:54",37.814,38.337,7,"ML",3.3,"Akçadağ (Malatya)"
550201,"2023-02-19T09:34:46",36.625,37.995,10.01,"ML",3.4,"Göksun (Kahramanmaraş)"
550195,"2023-02-19T08:59:22",36.654,37.819,7.11,"ML",3,"Onikişubat (Kahramanmaraş)"
550191,"2023-02-19T08:56:03",36.616,37.892,7.1,"ML",3.2,"Onikişubat (Kahramanmaraş)"
550189,"2023-02-19T08:57:24",36.768,37.231,7,"ML",3.1,"Türkoğlu (Kahramanmaraş)"
550188,"2023-02-19T08:48:16",36.202,37.849,4.76,"ML",3.4,"Saimbeyli (Adana)"
550182,"2023-02-19T08:43:17",37.446,37.69,7.33,"ML",3.4,"Çağlayancerit (Kahramanmaraş)"
550171,"2023-02-19T07:16:29",36.469,36.717,5.45,"ML",3.2,"Hassa (Hatay)"
550169,"2023-02-19T08:08:37",37.436,38.011,7,"MW",3.9,"Nurhak (Kahramanmaraş)"
550167,"2023-02-19T07:58:09",36.535,38.027,7.59,"ML",3,"Göksun (Kahramanmaraş)"
550153,"2023-02-19T06:55:38",37.167,37.521,10.39,"MW",4,"Dulkadiroğlu (Kahramanmaraş)"
550135,"2023-02-19T06:17:55",38.557,38.201,7.28,"MW",3.3,"Battalgazi (Malatya)"
550134,"2023-02-19T05:55:24",37.615,38.013,7,"MW",3.4,"Doğanşehir (Malatya)"
550128,"2023-02-19T05:46:34",37.19,37.474,11.99,"MW",4,"Dulkadiroğlu (Kahramanmaraş)"
550126,"2023-02-19T05:18:15",42.172,41.888,7,"ML",3.2,"Ozurgeti, Guria (Gürcistan) - [47.89 km] Borçka (Artvin)"
550092,"2023-02-19T03:37:49",36.719,37.185,7,"ML",3,"Nurdağı (Gaziantep)"
550090,"2023-02-19T04:17:03",36.84,37.252,9.45,"MW",3.7,"Nurdağı (Gaziantep)"
550088,"2023-02-19T04:06:17",36.829,37.251,5.22,"MW",3.9,"Türkoğlu (Kahramanmaraş)"
550087,"2023-02-19T04:07:40",36.835,37.236,4.98,"MW",4.5,"Nurdağı (Gaziantep)"
550086,"2023-02-19T04:03:40",36.846,37.241,5.15,"MW",3.5,"Nurdağı (Gaziantep)"
550085,"2023-02-19T03:59:11",36.825,37.25,10.07,"MW",4.3,"Türkoğlu (Kahramanmaraş)"
550081,"2023-02-19T02:57:24",38.045,37.99,7,"MW",3.1,"Doğanşehir (Malatya)"
550080,"2023-02-19T02:56:50",37.875,38.172,7,"ML",3.1,"Doğanşehir (Malatya)"
550079,"2023-02-19T02:54:05",36.916,38.108,7,"MW",3.6,"Göksun (Kahramanmaraş)"
550078,"2023-02-19T02:50:01",38.437,38.125,7.07,"MW",3.2,"Sincik (Adıyaman)"
550068,"2023-02-19T02:23:31",29.938,37.197,6.99,"MW",3.3,"Tefenni (Burdur)"
550066,"2023-02-19T01:36:26",36.618,38.093,6.76,"MW",3.5,"Göksun (Kahramanmaraş)"
550065,"2023-02-19T01:25:47",36.311,37.873,7.01,"ML",3,"Göksun (Kahramanmaraş)"
550062,"2023-02-19T01:16:51",38.035,38.117,7,"ML",3,"Doğanşehir (Malatya)"
